,WT_1_1,WT_1_2,WT_2_1,WT_2_2,WT_3_1,WT_3_2,SY14_1_1,SY14_1_2,SY14_2_1,SY14_2_2,SY14_3_1,SY14_3_2
WT_1_1,1,0.999884356228672,0.998415138823806,0.998404706394534,0.998889391634308,0.998876775422952,0.987039431762258,0.987061457266438,0.988208846052804,0.988099936181503,0.987225831460011,0.987268633976787
WT_1_2,0.999884356228672,1,0.998401791234519,0.998401320485644,0.998885646916447,0.998880176963778,0.986956137071565,0.986986032607135,0.98813290263807,0.988028705947193,0.987163016878642,0.987198479676569
WT_2_1,0.998415138823806,0.998401791234519,1,0.999875923257838,0.998213345766529,0.998197023547725,0.986833403435984,0.986848496314165,0.987786171283759,0.98767212515765,0.98676418551359,0.986806681916201
WT_2_2,0.998404706394534,0.998401320485644,0.999875923257838,1,0.998208368038026,0.998198231677445,0.986785816371837,0.986800732625171,0.987734543768011,0.987638092541302,0.986722189221186,0.986760869259006
WT_3_1,0.998889391634308,0.998885646916447,0.998213345766529,0.998208368038026,1,0.999888041151063,0.986319959737015,0.986342278149701,0.987840333074222,0.987754112279405,0.986773299792852,0.986815962668027
WT_3_2,0.998876775422952,0.998880176963778,0.998197023547725,0.998198231677445,0.999888041151063,1,0.986290226011008,0.986326904279919,0.987806245313254,0.987724972045772,0.986731494738051,0.986791322094702
SY14_1_1,0.987039431762258,0.986956137071565,0.986833403435984,0.986785816371837,0.986319959737015,0.986290226011008,1,0.999881790919126,0.997808897936246,0.997788393829542,0.997711095682522,0.997721086198416
SY14_1_2,0.987061457266438,0.986986032607135,0.986848496314165,0.986800732625171,0.986342278149701,0.986326904279919,0.999881790919126,1,0.997808675604884,0.997798019059079,0.997720607692114,0.99773743097565
SY14_2_1,0.988208846052804,0.98813290263807,0.987786171283759,0.987734543768011,0.987840333074222,0.987806245313254,0.997808897936246,0.997808675604884,1,0.999881503641489,0.998792512625699,0.998784560047366
SY14_2_2,0.988099936181503,0.988028705947193,0.98767212515765,0.987638092541302,0.987754112279405,0.987724972045772,0.997788393829542,0.997798019059079,0.999881503641489,1,0.998777058023645,0.998788074861701
SY14_3_1,0.987225831460011,0.987163016878642,0.98676418551359,0.986722189221186,0.986773299792852,0.986731494738051,0.997711095682522,0.997720607692114,0.998792512625699,0.998777058023645,1,0.999898206890955
SY14_3_2,0.987268633976787,0.987198479676569,0.986806681916201,0.986760869259006,0.986815962668027,0.986791322094702,0.997721086198416,0.99773743097565,0.998784560047366,0.998788074861701,0.999898206890955,1
